Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / Canada,Compare At Price / Canada,Status
keisha-makeup,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/keishabsckview.jpg?v=1656612151,2,keisha backview of bag,,,,,,,,,,,,,,,,,,,,,,,
keisha-makeup,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/keishainteriorshot.jpg?v=1656612159,3,keisha interior shot,,,,,,,,,,,,,,,,,,,,,,,
large-zip-pouch-variants,Large Zip Pouch (Assorted Colors),"<meta charset=""utf-8"">
<p><span>This versatile zip pouch is handcrafted from beautiful manufacturing scraps and is perfect for storing the essentials. Made from a fabric with a bold pattern in a variety of colors, you can find one to match any outfit! Carry it as a clutch or use it to easily move your essentials from one bag to another!</span></p>
<p><span>Designed and crafted by a woman in recovery, your purchase creates possibilities for her to thrive in her sobriety. </span></p>
<p><strong>Details:</strong></p>
<ul>
<li>100% upcycled vinyl and fabric<br>
</li>
<li>Dimensions: 11"" x 7.5""</li>
<li>Gold-tone hardware</li>
<li>Liner: Coordinating fabric</li>
<li>Two internal sidewall pockets</li>
<li>Zip Closure</li>
</ul>
<p style=""text-align: center;""><em>Handcrafted by a woman winning her battle with addiction in Hudson Valley, NY. </em><br><em>#carrypossibilities</em></p>",Unshattered,,Zip Pouch,"Bright, brown, chocolate, clutch, Color_Brown, Color_Gray, Color_Green, Color_Red, fall, gray, lime, neutral, pouch, Price_$0 - $100, red, Size_Small, small, spring, Style_Zip Pouch, Sustainable Material_Leather Free, zip",true,Color,Red,,,,,"",453.59237,shopify,deny,manual,45.00,,true,true,'90215997,https://cdn.shopify.com/s/files/1/2608/1584/products/CHRISSYLARGEZIPPOUCH.jpg?v=1657117842,1,CHRISSY LARGE ZIP POUCH,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CHRISSYLARGEZIPPOUCH.jpg?v=1657117842,lb,,,,,active
large-zip-pouch-variants,,,,,,,,,Brown,,,,,"",453.59237,shopify,deny,manual,45.00,,true,true,'90248765,https://cdn.shopify.com/s/files/1/2608/1584/products/CHRISSYBACKVIEWOFBAG.jpg?v=1657046466,2,CHRISSY BACK OF BAG,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CHRISTINAZIPPOUCH.jpg?v=1657046466,lb,,,,,
large-zip-pouch-variants,,,,,,,,,Green,,,,,"",453.59237,shopify,deny,manual,45.00,,true,true,'90281533,https://cdn.shopify.com/s/files/1/2608/1584/products/CHRISSYINTERIORSHOT.jpg?v=1657046466,3,CHRISSY INTERIOR SHOT,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CINDYV.LARGEZIPPOUCH.jpg?v=1657046466,lb,,,,,
large-zip-pouch-variants,,,,,,,,,Teal,,,,,"",453.59237,shopify,deny,manual,45.00,,true,true,'90314301,https://cdn.shopify.com/s/files/1/2608/1584/products/COLLEENLARGEZIPPOUCH.jpg?v=1657046466,4,COLLEEN LARGE ZIP POUCH,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/COLLEENLARGEZIPPOUCH.jpg?v=1657046466,lb,,,,,
large-zip-pouch-variants,,,,,,,,,Blue,,,,,"",453.59237,shopify,deny,manual,45.00,,true,true,'90347069,https://cdn.shopify.com/s/files/1/2608/1584/products/COLLEENBACKVIEW.jpg?v=1657046466,5,COLLEEN BACKVIEW OF BAG,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/TARISLARGEZIPPOUCH.jpg?v=1657046466,lb,,,,,
large-zip-pouch-variants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/COLLEENINTERIORSHOT.jpg?v=1657117857,6,COLLEEN INTERIOR SHOT,,,,,,,,,,,,,,,,,,,,,,,
large-zip-pouch-variants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CINDYV.LARGEZIPPOUCH.jpg?v=1657046466,7,CINDY V. LARGE ZIP POUCH,,,,,,,,,,,,,,,,,,,,,,,
large-zip-pouch-variants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CINDYV.BACKVIEWOFBAG.jpg?v=1657118010,8,CINDY V. BACKVIEW OF BAG,,,,,,,,,,,,,,,,,,,,,,,
large-zip-pouch-variants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CINDYV.INTERIORSHOT.jpg?v=1657046466,9,CINDY V. INTERIOR SHOT,,,,,,,,,,,,,,,,,,,,,,,
large-zip-pouch-variants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/TARISLARGEZIPPOUCH.jpg?v=1657046466,10,TARIS LARGE ZIP POUCH,,,,,,,,,,,,,,,,,,,,,,,
large-zip-pouch-variants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/TARISZIPPOUCHBACKVIEW.jpg?v=1657046466,11,TARIS BACKVIEW OF BAG,,,,,,,,,,,,,,,,,,,,,,,
large-zip-pouch-variants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/TARISINTERIORSHOT.jpg?v=1657046466,12,TARIS INTERIOR SHOT,,,,,,,,,,,,,,,,,,,,,,,
large-zip-pouch-variants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CHRISTINAZIPPOUCH.jpg?v=1657046466,13,CHRISTINA ZIP POUCH,,,,,,,,,,,,,,,,,,,,,,,
large-zip-pouch-variants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CHRISTINAINTERIOR.jpg?v=1657046466,14,CHRISTINA INTERIOR,,,,,,,,,,,,,,,,,,,,,,,
constance-tote-1,Constance Tote,"<meta charset=""utf-8"">
<p>This mixed media tote is made from upcycled vinyl and fabric. The beautiful geometric print home décor fabric is paired with UltraFabric's premium vinyl. that has just a hint of elegant shimmer.</p>
<p>Don't miss the coordinating paisley liner or the three drop-in sidewall pockets. </p>
<p>Handcrafted by a woman in recovery in Hudson Valley, NY, this tote creates possibilities for women overcoming addiction to thrive in recovery!</p>
<p><strong>Details:</strong></p>
<ul>
<li>100% upcycled fabric and vinyl</li>
<li>Dimensions: 15"" x 5"" x 13""</li>
<li>Three internal sidewall pockets</li>
<li>Liner: Paisley fabric</li>
<li>Silver-tone hardware</li>
<li>Magnetic closure</li>
</ul>
<br>
<p style=""text-align: center;""><em>Handcrafted by a woman winning her battle against addiction. <br>#carrypossibilities</em></p>",Unshattered,,Tote,"Blue Design, Color_Multicolor, July2022, lois, metallic taupe vinyl, Price_$100 - $150, shoulder, Size_Medium, Style_Tote, summer, summer2022, Sustainable Material_Leather Free, Sustainable Material_Vinyl, tiffany, Tote",true,Title,Default Title,,,,,"",1360.77711,shopify,deny,manual,129.00,,true,true,'07149117,https://cdn.shopify.com/s/files/1/2608/1584/products/DSC_0179.jpg?v=1656688706,1,CONSTANCE TOTE,false,,,,,,,,,,,,,,,,,lb,,,,,active
constance-tote-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/constancecenteredphoto.jpg?v=1656688714,2,,,,,,,,,,,,,,,,,,,,,,,,
constance-tote-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CONSTANCEINTERIORSHOT.jpg?v=1656688714,3,CONSTANCE INTERIOR SHOT,,,,,,,,,,,,,,,,,,,,,,,
cynthia-convertible-handbag,Cynthia Zippered Convertible Handbag,"<p>This convertible handbag is beautifully versatile! The exterior of this bag is made from  upcycled wipe-clean vinyl that is perfectly paired. I<span style=""font-weight: 400;"">t's made from industrial vinyl - the very same material you find in restaurants and hotels that LOOKS like leather, but is vegan. It's soft and elegant, but it stands up to everyday wear beautifully.</span></p>
<p>These neutral tones are highly sophisticated on their own, but we paired them with a pop of color on the interior which includes three sizeable pockets!</p>
<p>Featuring an adjustable, removable crossbody strap, can carry this bag in several ways- as a classic handbag, over the shoulder, or crossbody.<br></p>
<p>This wipe-clean bag means you can carry a gorgeous gray vinyl bag without worrying about getting it dirty. </p>
<h4>Details</h4>
<ul>
<li>100% upcycled fabric and vinyl</li>
<li>Dimensions: 15"" x 11"" x 4""</li>
<li>Liner: Floral fabric</li>
<li>Three internal side-wall pockets</li>
<li>Adjustable, removable strap</li>
<li>Silver-tone hardware </li>
</ul>
<p style=""text-align: center;""> </p>
<p style=""text-align: center;""><em>Handcrafted out of upcycled materials by a woman winning her battle against addiction. #carrypossibilities</em></p>",Unshattered,,Convertible Handbag,"convertible, Crossbody, handbag, jenn, July2022, large, lois, Price_$150 - $200, shoulder, Size_Medium, spring, Style_Convertible Handbag, Sustainable Material_Leather Free, zipconvertiblehandbag, zippered",true,Title,Default Title,,,,,"",1360.77711,shopify,deny,manual,189.00,,true,true,'94533437,https://cdn.shopify.com/s/files/1/2608/1584/products/CYNTHIANEWEDITED.jpg?v=1657046172,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
cynthia-convertible-handbag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/BACKOFCYNTHIA.jpg?v=1657046286,2,,,,,,,,,,,,,,,,,,,,,,,,
cynthia-convertible-handbag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CYNTHIAINTERIORSHOT.jpg?v=1657046264,3,CYNTHIA INTERIOR SHOT,,,,,,,,,,,,,,,,,,,,,,,
murphy-convertible-handbag,Murphy Zippered Convertible Handbag,"<p>This convertible handbag is beautifully versatile! The exterior of this bag is made from  upcycled fabric reclaimed from an outdoor furniture company paired with super-soft vegan leather on the edges. As robust as they come, this bag can be wiped clean with soap and water, hand sanitizer, or a disinfecting wipe. </p>
<p>But just because it's durable doesn't mean it's not gorgeous! Check out the pop of color on the inside and three internal side-wall pockets! </p>
<p>Featuring an adjustable, removable crossbody strap so you can carry it several ways- classic handbag, over the shoulder, or crossbody. </p>
<h4>Details</h4>
<ul>
<li>100% upcycled fabrics and vinyl</li>
<li>Dimensions: 15"" x 11"" x 4""</li>
<li>Liner: Floral fabric</li>
<li>Three internal side-wall pockets</li>
<li>Adjustable removable cross-body strap</li>
<li>Two hand straps</li>
<li>Silver-tone hardware </li>
</ul>
<p style=""text-align: center;""> </p>
<p style=""text-align: center;""><em>Handcrafted out of upcycled materials by a woman winning her battle against addiction. #carrypossibilities</em></p>",Unshattered,,Convertible Handbag,"convertible, Crossbody, handbag, July2022, large, lois, Price_$150 - $200, shoulder, Size_Medium, spring, spring2021, Style_Convertible Handbag, Sustainable Material_Leather Free, zipconvertiblehandbag, zippered",true,Title,Default Title,,,,,"",1360.77711,shopify,deny,manual,189.00,,true,true,'57664573,https://cdn.shopify.com/s/files/1/2608/1584/products/MURPHYCONVERTIBLEHANDBAG.jpg?v=1656632979,1,MURPHY CONVERTIBLE HANDBAG,false,,,,,,,,,,,,,,,,,lb,,,,,active
murphy-convertible-handbag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/MURPHYBACKVIEWPICTURECONV.HANDBAG.jpg?v=1656530882,2,MURPHY BACKVIEW OF BAG,,,,,,,,,,,,,,,,,,,,,,,
murphy-convertible-handbag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/MURPHYINTERIORSHOT.jpg?v=1656530890,3,MURPHY INTERIOR SHOT,,,,,,,,,,,,,,,,,,,,,,,
upcycled-patio-furniture-material-shopper-tote,Shopper Tote (choice of color),"<meta charset=""utf-8""><meta charset=""utf-8"">
<p>One of our most popular products, this shopper is perfect for almost anywhere you can imagine. This fabric is as robust as it gets. The bag is handcrafted from the excess material reclaimed from a high-end outdoor furniture company.</p>
<p>Our customers love it for:<br>- a work tote<br>- a beach bag<br>- a market tote<br>- a mom bag (all the snacks and toys!)<br>- a project bag<br>- a library bag</p>
<p>You can't go wrong!</p>
<p>The bag features durable double straps that are the perfect length to tuck this bag right under your arm<br><br>Both sturdy and elegant, this bag can be wiped down with a damp rag, hand sanitizer, or a disinfecting wipe. Take it to the gym, the beach, the store, and more. We're betting this is about to be your new favorite bag too. </p>
<p><br></p>
<h4>Details:</h4>
<ul>
<li>100% upcycled patio furniture fabric</li>
<li>Dimensions: 18"" x 6"" x 12.5""</li>
<li><span data-mce-fragment=""1"">Straps: Two handle straps </span></li>
<li><span data-mce-fragment=""1"">Internal side-wall pocket for your keys, phone, etc.</span></li>
</ul>
<p style=""text-align: center;""> </p>
<p style=""text-align: center;""><em>100% of your purchase goes to provide employment and job skills training for women in recovery! <br></em><em>#carrypossibilities</em><br></p>",Unshattered,,Shopper,"beach, beach bag, gray, July2022, kaylene, lois, Price_$0 - $100, shopper, Size, spring, spring2022, Style_Shopper, summer neutral, summer2022, Sustainable Material_Roller Blinds, tote, travel, wipe-clean",true,Color,Gray,,,,,"",1814.36948,shopify,deny,manual,89.00,,true,true,'88732733,https://cdn.shopify.com/s/files/1/2608/1584/products/ShopperToteGray.jpg?v=1660139662,1,,false,,"One of our most popular products, this shopper is perfect for carrying to the store to fill with all those last-minute grocery items you need! Or you can fill it with your beach towel, sunscreen, and a great book and take it with you on your beach day! It's handcrafted from premium quality upcycled roller blinds. ",,,,,,,,,,,,,,,lb,,,,,active
upcycled-patio-furniture-material-shopper-tote,,,,,,,,,Tan,,,,,"",1814.36948,shopify,deny,manual,89.00,,true,true,'88765501,https://cdn.shopify.com/s/files/1/2608/1584/products/ShopperToteinTan_GrayLifestyle.jpg?v=1660139662,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/TANSHOPPERNEW.jpg?v=1660139662,lb,,,,,
upcycled-patio-furniture-material-shopper-tote,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/DSC_0051_1.jpg?v=1660139662,3,,,,,,,,,,,,,,,,,,,,,,,,
upcycled-patio-furniture-material-shopper-tote,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/ROLLERBLINDDETAILSHOTINSIDE.jpg?v=1660139662,4,ALICE SHOPPER DETAIL SHOT,,,,,,,,,,,,,,,,,,,,,,,
upcycled-patio-furniture-material-shopper-tote,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/TANSHOPPERNEW.jpg?v=1660139662,5,,,,,,,,,,,,,,,,,,,,,,,,
brent-small-messenger,Brent Messenger,"<meta charset=""utf-8"">
<p>Handcrafted from upcycled interior decor fabric, this beautiful messenger features two internal sidewall pockets, a drop-in rear pocket, an adjustable strap, and a magnetic snap closure.</p>
<p>The gorgeous decor fabric is paired with wipe-clean vinyl in all the high-touch spots to keep the bag looking it's best!<br></p>
<p>Designed and crafted by a women winning her battle against addiction, this bag is a metaphor of a life remade. While this gorgeous fabric was the star of a beautiful remodel, the excess was headed for a landfill until we turned it back into something beautiful. Just like the lives of the women we employ, beauty made from brokenness. </p>
<p><strong>Details:</strong></p>
<ul>
<li>100% upcycled fabric and vegan leather/vinyl</li>
<li>Dimensions: main body of the bag 11"" x 10"" x 2""</li>
<li>Liner: cream fabric<br>
</li>
<li>Two internal sidewall pockets and full-span outside back pocket</li>
<li>Adjustable strap</li>
<li>Gold-tone hardware</li>
<li>Magnetic snap closure</li>
</ul>
<p> </p>
<p style=""text-align: center;""><em>Handcrafted by a woman winning her fight against addiction.<br></em><em>#carrypossibilities</em></p>",Unshattered,,Messenger,"blue and white flower pattern, blue vinyl, Color_Blue, Color_Multicolor, crossbody, July2022, lois, Messenger, Price_$100 - $150, shoulder, Size_Medium, soft, Style_Messenger, Sustainable Material_Leather Free, Sustainable Material_Vinyl, tiffany",false,Title,Default Title,,,,,"",907.18474,shopify,deny,manual,129.00,,true,true,'85499453,https://cdn.shopify.com/s/files/1/2608/1584/products/BRENTNEWEST_3d18c4b2-5329-48d4-aa7e-a9d76e618034.jpg?v=1657222318,1,,false,,,,,,,,,,,,,,,,,lb,,,,,draft
brent-small-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/BRENTINTERIORSHOT.jpg?v=1657222318,2,BRENT INTERIOR SHOT,,,,,,,,,,,,,,,,,,,,,,,
brent-small-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/BRENTPOCKETVIEW_62d251f7-a68c-4fc1-821f-da41acdfad2e.jpg?v=1657222316,3,,,,,,,,,,,,,,,,,,,,,,,,
sadie-small-messenger,Sadie  Messenger,"<meta charset=""utf-8"">
<p>Handcrafted from upcycled interior decor fabric, this beautiful messenger features two internal sidewall pockets, an adjustable strap, and a magnetic snap closure.</p>
<p>The gorgeous decor fabric is paired with wipe-clean vinyl in all the high-touch spots to keep the bag looking it's best!<br></p>
<p>Designed and crafted by a women winning her battle against addiction, this bag is a metaphor of a life remade. While this gorgeous fabric was the star of a beautiful remodel, the excess was headed for a landfill until we turned it back into something beautiful. Just like the lives of the women we employ, beauty made from brokenness. </p>
<h4>Details:</h4>
<ul>
<li>100% upcycled fabric</li>
<li>Dimensions: 11"" x 10"" x 2""</li>
<li>Liner: paisley fabric<br>
</li>
<li>Two internal sidewall pockets</li>
<li>Adjustable strap</li>
<li>Silver hardware</li>
<li>Magnetic clasp </li>
</ul>
<p> </p>
<p style=""text-align: center;""><em>Handcrafted by a woman winning her fight against addiction.<br></em><em>#carrypossibilities</em></p>",Unshattered,,Messenger,"blue vinyl, Color_Multicolor, crossbody, February2022, Gray Vinyl, July2022, lois, Messenger, Price_$100 - $150, shoulder, Size_Medium, soft, Style_Messenger, Sustainable Material_Leather Free, Sustainable Material_Vinyl, tiffany",false,Title,Default Title,,,,,"",907.18474,shopify,deny,manual,119.00,,true,true,'75505213,https://cdn.shopify.com/s/files/1/2608/1584/products/SADIENEWPHOTOGRAPHS.jpg?v=1657108885,1,,false,,,,,,,,,,,,,,,,,lb,,,,,draft
sadie-small-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/SADIEINTERIORSHOT.jpg?v=1657108885,2,SADIE INTERIOR SHOT,,,,,,,,,,,,,,,,,,,,,,,
sadie-small-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/SADIEBACKVIEW.jpg?v=1657108883,3,,,,,,,,,,,,,,,,,,,,,,,,
elizabeth-small-messenger,Elizabeth Messenger,"<meta charset=""utf-8"">
<p>This wipe-clean messenger is a workhorse! It's gorgeous, of course - we don't make anything that isn't ;) AND it's made from industrial vinyl - the very same material you find in restaurants and hotels that LOOKS like leather, but is vegan. It's soft and elegant, but it stands up to everyday wear beautifully.</p>
<p>We love that you can wipe the exterior with soap and water, hand sanitizer, or a disinfecting wipe while still carrying something sophisticated and elegant. </p>
<p>This bag features two internal side-wall pockets, a drop-in rear exterior pocket, as well as an adjustable strap making it perfect for travel, every day, and more. </p>
<p> </p>
<h4>Details:</h4>
<ul>
<li>100% upcycled fabric</li>
<li>Dimensions: 11"" x 10"" x 2""</li>
<li>Liner: paisley fabric<br>
</li>
<li>Two internal sidewall pockets and full span outside back pocket</li>
<li>Adjustable strap</li>
<li>Silver hardware</li>
<li>Magnetic snap closure</li>
</ul>
<p> </p>
<p style=""text-align: center;""><em>Handcrafted by a woman winning her fight against addiction.<br></em><em>#carrypossibilities</em></p>",Unshattered,,Messenger,"blue vinyl, Color_Multicolor, crossbody, February2022, Gray Vinyl, July2022, lois, Messenger, Price_$100 - $150, shoulder, Size_Medium, soft, Style_Messenger, Sustainable Material_Leather Free, Sustainable Material_Vinyl, tiffany",true,Title,Default Title,,,,,"",907.18474,shopify,deny,manual,129.00,,true,true,'67608125,https://cdn.shopify.com/s/files/1/2608/1584/products/ELIZABETHSMALLMESSENGER.jpg?v=1656633122,1,ELIZABETH SMALL MESSENGER,false,,,,,,,,,,,,,,,,,lb,,,,,active
elizabeth-small-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/ELIZABETHBACKVIEWWITHPOCKET.jpg?v=1656633143,2,ELIZABETH BACK VIEW WITH POCKET,,,,,,,,,,,,,,,,,,,,,,,
elizabeth-small-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/ELIZABETHINTERIORSHOT.jpg?v=1657128906,3,ELIZABETH INTERIOR SHOT,,,,,,,,,,,,,,,,,,,,,,,
china-small-messenger,China Messenger,"<meta charset=""utf-8"">
<p>Handcrafted from upcycled interior décor fabric, this beautiful messenger features two internal sidewall pockets, an adjustable strap, and a magnetic snap closure.</p>
<p>The gorgeous décor fabric is paired with wipe-clean vinyl in all the high-touch spots to keep the bag looking it's best!<br></p>
<p>Designed and crafted by a women winning her battle against addiction, this bag is a metaphor of a life remade. While this gorgeous fabric was the star of a beautiful remodel, the excess was headed for a landfill until we turned it back into something beautiful. Just like the lives of the women we employ, beauty made from brokenness. </p>
<h4>Details:</h4>
<ul>
<li>100% upcycled fabric</li>
<li>Dimensions: 11"" x 10"" x 2""</li>
<li>Liner: Brown fabric<br>
</li>
<li>Two internal sidewall pockets</li>
<li>Exterior backwall drop-in pocket</li>
<li>Adjustable strap</li>
<li>Gold-tone hardware</li>
<li>Magnetic snap closure</li>
</ul>
<p> </p>
<p style=""text-align: center;""><em>Handcrafted by a woman winning her fight against addiction.<br></em><em>#carrypossibilities</em></p>",Unshattered,,Messenger,"blue vinyl, Color_Cream, Color_Multicolor, crossbody, July2022, lois, Price_$100 - $150, shoulder, Size_Medium, soft, Style_Messenger, Sustainable Material_Leather Free, Sustainable Material_Vinyl, tiffany, white vinyl",true,Title,Default Title,,,,,"",907.18474,shopify,deny,manual,129.00,,true,true,'47416125,https://cdn.shopify.com/s/files/1/2608/1584/products/CHINASMALLMESSENGER.jpg?v=1656687903,1,CHINA SMALL MESSENGER,false,,,,,,,,,,,,,,,,,lb,,,,,active
china-small-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CHINAFRONTSMALLMESSENGER.jpg?v=1656687903,2,CHINA SMALL MESSENGER FRONT PICTURE,,,,,,,,,,,,,,,,,,,,,,,
china-small-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CHINABACKPOCKET.jpg?v=1657046157,3,CHINA BACK POCKET,,,,,,,,,,,,,,,,,,,,,,,
china-small-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/CHINAINTERIOR.jpg?v=1657046173,4,CHINA INTERIOR ,,,,,,,,,,,,,,,,,,,,,,,
azure-swizzle-small-messenger,"Azure ""SWIZZLE"" Messenger","<meta charset=""utf-8"">
<p>This messenger is handcrafted from upcycled fabric reclaimed from an interior design project. This brand new ""Swizzle"" fabric was used in the remodeling of a high-end luxury hotel!</p>
<p>The magnetic snap-close flap protects your wallet and belongings inside and two internal side-wall pockets keep them organized. The adjustable shoulder strap makes this messenger a great fit for any stylishly practical fashionista.</p>
<h4>Details:</h4>
<ul>
<li>100% Upcycled fabric</li>
<li>Dimensions: 11"" x 10"" x 2""</li>
<li>Liner: Blue striped fabric<br>
</li>
<li>Two internal sidewall pockets</li>
<li>Adjustable strap</li>
<li>Gold-tone hardware</li>
<li>Magnetic snap closure</li>
</ul>
<p> </p>
<p style=""text-align: center;""><em>Handcrafted by a woman winning her fight against addiction.<br></em><em>#carrypossibilities</em></p>",Unshattered,,Messenger,"Blue Swizzle, blue vinyl, Color_Multicolor, crossbody, gray vinyl, July2022, lois, Messenger, Price_$100 - $150, shoulder, Size_Medium, soft, Style_Messenger, summer2022, Sustainable Material_Hotel Textiles, Sustainable Material_Leather Free, Sustainable Material_Vinyl, tiffany",true,Title,Default Title,,,,,"",907.18474,shopify,deny,manual,129.00,,true,true,'41714493,https://cdn.shopify.com/s/files/1/2608/1584/products/JAIMESMALLMESSENGERSWIZZLE.jpg?v=1656632686,1,Jamie Swizzle Upcycled Hotel Textiles Small Messenger | Unshattered,false,,,,,,,,,,,,,,,,,lb,,,,,active
azure-swizzle-small-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/JAIMEINTERIORSWIZZLESMALLMESSENGER.jpg?v=1655753472,2,Jamie Swizzle Upcycled Hotel Textiles Small Messenger Interior | Unshattered,,,,,,,,,,,,,,,,,,,,,,,
lindsey-convertible-handbag,Lindsey Convertible Handbag,"<p>This one-of-a-kind convertible handbag feels like you captured a summer day right in your hand! The exterior is made from fabric that feels like you're lost in a field of flowers and the inside looks like you packed up some sunshine to take on the road!</p>
<p>Featuring an adjustable, removable crossbody strap, you can carry this bag in several ways- classic handbag, over the shoulder, or as a crossbody. Don't miss the three internal side-wall pockets.</p>
<p>Because we know you worry about getting that gorgeous fabric dirty, we covered all the high-touch spots with industrial vinyl - bottom, sides, and zipper! But don't think this bag is too precious - it's made 100% reclaimed fabrics from an interior decor company so they're made to be robust!</p>
<h4>Details</h4>
<ul>
<li>100% upcycled fabric</li>
<li>Dimensions: 15"" x 11"" x 4""</li>
<li>Liner: yellow fabric</li>
<li>Three internal side-wall pockets</li>
<li>Adjustable removable strap and two hand straps</li>
<li>Gold-tone hardware </li>
<li>Zip closure</li>
</ul>
<p style=""text-align: center;""> </p>
<p style=""text-align: center;""><em>Handcrafted out of upcycled materials by a woman winning her battle against addiction. #carrypossibilities</em></p>",Unshattered,,Convertible Handbag,"convertible, Crossbody, handbag, July2022, large, lois, Price_$150 - $200, shoulder, Size_Medium, spring, spring2021, Style_Convertible Handbag, Sustainable Material_Leather Free, zipconvertiblehandbag, zippered",false,Title,Default Title,,,,,"",1360.77711,shopify,deny,manual,189.00,,true,true,'22818365,https://cdn.shopify.com/s/files/1/2608/1584/products/LINDSEYWITHSTRAP.jpg?v=1657042986,1,,false,,,,,,,,,,,,,,,,,lb,,,,,archived
lindsey-convertible-handbag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/lindseyInteriorshot.jpg?v=1657042986,2,LINDSEY INTERIOR SHOT,,,,,,,,,,,,,,,,,,,,,,,
